aircraft_code;seat_no;fare_conditions
ZBF;1A;ECONOMY
ZBF;1B;BUISNESS
ZBF;1C;ADVANCE
ZBF;1D;ECONOMY
ZBF;2A;PREMIUM
ZBF;2B;BASE
ZBF;2C;BUISNESS
ZBF;2D;ECONOMY
ZBF;3A;ECONOMY
ZBF;3B;ECONOMY
ZBF;3C;BUISNESS
ZBF;3D;BASE
ZBF;4A;ADVANCE
ZBF;4B;ADVANCE
ZBF;4C;ECONOMY
ZBF;4D;BUISNESS
ZBF;5A;PREMIUM
ZBF;5B;PREMIUM
ZBF;5C;ADVANCE
ZBF;5D;BASE
ZBF;6A;ULTRAKAIF
ZBF;6B;BUISNESS
ZBF;6C;BUISNESS
ZBF;6D;ECONOMY
ZBF;7A;BUISNESS
ZBF;7B;BUISNESS
ZBF;7C;BASE
ZBF;7D;PREMIUM
ZBF;8A;ULTRAKAIF
ZBF;8B;PREMIUM
ZBF;8C;BUISNESS
ZBF;8D;BASE
ZBF;9A;ECONOMY
ZBF;9B;BUISNESS
ZBF;9C;ULTRAKAIF
ZBF;9D;ULTRAKAIF
ZBF;10A;BASE
ZBF;10B;BASE
ZBF;10C;ULTRAKAIF
ZBF;10D;BUISNESS
ZBF;11A;ADVANCE
ZBF;11B;ADVANCE
ZBF;11C;ADVANCE
ZBF;11D;PREMIUM
ZBF;12A;ECONOMY
ZBF;12B;ULTRAKAIF
ZBF;12C;BASE
ZBF;12D;ULTRAKAIF
ZBF;13A;BUISNESS
ZBF;13B;ECONOMY
ZBF;13C;PREMIUM
ZBF;13D;ECONOMY
ZBF;14A;ECONOMY
ZBF;14B;BUISNESS
ZBF;14C;BUISNESS
ZBF;14D;ADVANCE
ZBF;15A;BASE
ZBF;15B;BASE
ZBF;15C;ULTRAKAIF
ZBF;15D;ULTRAKAIF
ZBF;16A;BUISNESS
ZBF;16B;BASE
ZBF;16C;BASE
ZBF;16D;PREMIUM
ZBF;17A;PREMIUM
ZBF;17B;ULTRAKAIF
ZBF;17C;ECONOMY
ZBF;17D;ULTRAKAIF
ZBF;18A;BUISNESS
ZBF;18B;BASE
ZBF;18C;ADVANCE
